Album,Rating,Genres,TrackName,Artist,Released,Price,Time,Label
Girls and Boys,4.36923,"Pop,Music,Alternative,College Rock,Indie Rock,Pop/Rock,Singer/Songwriter,Contemporary Singer/Songwriter,Rock,Adult Alternative",Highway,Ingrid Michaelson,"Jun 28, 2007",$0.99,3:50,℗ 2007 Ingrid Michaelson
Girls and Boys,4.36923,"Pop,Music,Alternative,College Rock,Indie Rock,Pop/Rock,Singer/Songwriter,Contemporary Singer/Songwriter,Rock,Adult Alternative",Far Away,Ingrid Michaelson,"Jun 28, 2007",$0.99,3:03,℗ 2007 Ingrid Michaelson
"Grey's Anatomy, Vol. 3 (Original Soundtrack)",3.62736,"Soundtrack,Music",Keep Breathing,Ingrid Michaelson,"Sep 11, 2007",$0.99,3:28,"℗ 2007 Hollywood Records, Inc."
Be OK,4.45584,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",Giving Up,Ingrid Michaelson,"Oct 14, 2008",$0.99,4:09,℗ 2008 Cabin 24 Records
Be OK,4.45584,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",Over the Rainbow,Ingrid Michaelson,"Oct 14, 2008",$0.99,2:56,℗ 2008 Cabin 24 Records
Be OK,4.45584,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",The Chain (Live from Webster Hall),Ingrid Michaelson,"Oct 14, 2008",$0.99,3:13,℗ 2008 Cabin 24 Records
Be OK,4.45584,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",Lady In Spain,Ingrid Michaelson,"Oct 14, 2008",$0.99,3:11,℗ 2008 Cabin 24 Records
Be OK,4.45584,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",Oh What a Day,Ingrid Michaelson,"Oct 14, 2008",$0.99,2:28,℗ 2008 Cabin 24 Records
Be OK,4.45584,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",The Way I Am (Live on WERS),Ingrid Michaelson,"Oct 14, 2008",$0.99,2:03,℗ 2008 Cabin 24 Records
Be OK,4.45584,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",Be OK (Acoustic),Ingrid Michaelson,"Oct 14, 2008",$0.99,2:32,℗ 2008 Cabin 24 Records
Snowfall - Single,4.86956,"Holiday,Music",Snowfall,Ingrid Michaelson,"Nov 21, 2008",$0.99,2:25,℗ 2008 Cabin 24 Records
When the Leaves - Single,4.63636,"Holiday,Music",When the Leaves,Ingrid Michaelson,"Nov 14, 2008",$0.99,1:49,℗ 2008 Cabin 24 Records
The Way I Am (Karaoke Version) - Single,4.92307,"Karaoke,Music,Pop",The Way I Am (Karaoke Version),Ingrid Michaelson,"Jan 21, 2009",$0.99,2:13,℗ 2008 Cabin 24 Records
Live from the Artists Den: Season 1 (Part II),4.4,"Rock,Music,Alternative",Keep Breathing (Live),Ingrid Michaelson,"Feb 10, 2009",$0.99,3:37,℗ 2009 Artists Den Records
Live Session (iTunes Exclusive) - EP,4.56088,"Pop,Music,Singer/Songwriter,Contemporary Singer/Songwriter",Be OK (Live),Ingrid Michaelson,"Feb 10, 2009",$0.99,2:48,℗ 2008 Cabin 24 Records
Live Session (iTunes Exclusive) - EP,4.56088,"Pop,Music,Singer/Songwriter,Contemporary Singer/Songwriter",The Chain (Live),Ingrid Michaelson,"Feb 10, 2009",$0.99,3:21,℗ 2008 Cabin 24 Records
Live Session (iTunes Exclusive) - EP,4.56088,"Pop,Music,Singer/Songwriter,Contemporary Singer/Songwriter",Far Away (Live),Ingrid Michaelson,"Feb 10, 2009",$0.99,3:09,℗ 2008 Cabin 24 Records
Live Session (iTunes Exclusive) - EP,4.56088,"Pop,Music,Singer/Songwriter,Contemporary Singer/Songwriter",The Way I Am (Live),Ingrid Michaelson,"Feb 10, 2009",$0.99,2:14,℗ 2008 Cabin 24 Records
All Love - Single,4.68159,"Pop,Music",All Love,Ingrid Michaelson,"May 15, 2009",$0.99,3:33,℗ Cabin 24 Records
Everybody (Bonus Track Version),4.61282,"Pop,Music",Soldier,Ingrid Michaelson,"Aug 25, 2009",$0.99,3:37,℗ 2009 Cabin 24 Records
Everybody (Bonus Track Version),4.61282,"Pop,Music",Are We There Yet,Ingrid Michaelson,"Aug 25, 2009",$0.99,3:51,℗ 2009 Cabin 24 Records
Everybody (Bonus Track Version),4.61282,"Pop,Music",Incredible Love,Ingrid Michaelson,"Aug 25, 2009",$0.99,3:53,℗ 2009 Cabin 24 Records
Everybody (Bonus Track Version),4.61282,"Pop,Music",Mountain and the Sea,Ingrid Michaelson,"Aug 25, 2009",$0.99,3:33,℗ 2009 Cabin 24 Records
Everybody (Bonus Track Version),4.61282,"Pop,Music",So Long,Ingrid Michaelson,"Aug 25, 2009",$0.99,3:13,℗ 2009 Cabin 24 Records
Everybody (Bonus Track Version),4.61282,"Pop,Music",Once Was Love,Ingrid Michaelson,"Aug 25, 2009",$0.99,3:35,℗ 2009 Cabin 24 Records
Everybody (Bonus Track Version),4.61282,"Pop,Music",Locked Up,Ingrid Michaelson,"Aug 25, 2009",$0.99,3:56,℗ 2009 Cabin 24 Records
"Grey's Anatomy, Vol. 1, 2 & 3 (Original Soundtrack)",4.05128,"Soundtrack,Music",Keep Breathing,Ingrid Michaelson,"Sep 22, 2009",,3:28,"℗ 2009 Hollywood Records, Inc."
Parachute - Single,4.6517,"Pop,Music,Singer/Songwriter,Rock,Contemporary Singer/Songwriter,Adult Alternative",Parachute,Ingrid Michaelson,"Sep 14, 2010",$1.29,3:19,℗ 2010 Cabin 24 Records under exclusive license to Mom + Pop
Sort Of (Instrumental) - Single,4.84615,"Pop,Music",Sort Of (Instrumental),Ingrid Michaelson,"May 06, 2011",$0.99,3:19,℗ 2011 Cabin 24 Records
Spare Change - Single,4.89091,"Pop,Music,Singer/Songwriter",Spare Change,Ingrid Michaelson,"Jul 16, 2011",$0.99,2:59,℗ 2011 Ingrid Michaelson
Parachute(s) Remixed - EP,4.65517,"Pop,Music,Singer/Songwriter,Contemporary Singer/Songwriter,Rock,Adult Alternative",Parachute (Serban Ghenea Mix),Ingrid Michaelson,"Aug 16, 2011",$1.29,3:20,℗ Cabin 24 Records under exclusive license to Mom + Pop Music
Parachute(s) Remixed - EP,4.65517,"Pop,Music,Singer/Songwriter,Contemporary Singer/Songwriter,Rock,Adult Alternative",Parachute (tyDi Mix),Ingrid Michaelson,"Aug 16, 2011",$1.29,3:38,℗ Cabin 24 Records under exclusive license to Mom + Pop Music
Parachute(s) Remixed - EP,4.65517,"Pop,Music,Singer/Songwriter,Contemporary Singer/Songwriter,Rock,Adult Alternative",Parachute (Acoustic),Ingrid Michaelson,"Aug 16, 2011",$1.29,3:11,℗ Cabin 24 Records under exclusive license to Mom + Pop Music
Parachute(s) Remixed - EP,4.65517,"Pop,Music,Singer/Songwriter,Contemporary Singer/Songwriter,Rock,Adult Alternative",Parachute (Dan Romer Spook Out),Ingrid Michaelson,"Aug 16, 2011",$1.29,3:15,℗ Cabin 24 Records under exclusive license to Mom + Pop Music
Human Again,4.52412,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",Fire,Ingrid Michaelson,"Jan 24, 2012",$1.29,3:20,℗ Cabin 24 Records under exclusive license to Mom + Pop
Human Again,4.52412,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",This Is War,Ingrid Michaelson,"Jan 24, 2012",$1.29,3:19,℗ Cabin 24 Records under exclusive license to Mom + Pop
Human Again,4.52412,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",Do It Now,Ingrid Michaelson,"Jan 24, 2012",$1.29,3:16,℗ Cabin 24 Records under exclusive license to Mom + Pop
Human Again,4.52412,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",I'm Through,Ingrid Michaelson,"Jan 24, 2012",$1.29,3:27,℗ Cabin 24 Records under exclusive license to Mom + Pop
Human Again,4.52412,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",Blood Brothers,Ingrid Michaelson,"Jan 24, 2012",$1.29,3:12,℗ Cabin 24 Records under exclusive license to Mom + Pop
Human Again,4.52412,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",Black and Blue,Ingrid Michaelson,"Jan 24, 2012",$1.29,3:37,℗ Cabin 24 Records under exclusive license to Mom + Pop
Human Again,4.52412,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",Ribbons,Ingrid Michaelson,"Jan 24, 2012",$1.29,3:27,℗ Cabin 24 Records under exclusive license to Mom + Pop
Human Again,4.52412,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",How We Love,Ingrid Michaelson,"Jan 24, 2012",$1.29,3:33,℗ Cabin 24 Records under exclusive license to Mom + Pop
Human Again,4.52412,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",Palm of Your Hand,Ingrid Michaelson,"Jan 24, 2012",$1.29,3:11,℗ Cabin 24 Records under exclusive license to Mom + Pop
Human Again,4.52412,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",Ghost,Ingrid Michaelson,"Jan 24, 2012",$1.29,4:01,℗ Cabin 24 Records under exclusive license to Mom + Pop
Human Again,4.52412,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",In the Sea,Ingrid Michaelson,"Jan 24, 2012",$1.29,3:18,℗ Cabin 24 Records under exclusive license to Mom + Pop
Human Again,4.52412,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",Keep Warm,Ingrid Michaelson,"Jan 24, 2012",$1.29,3:18,℗ Cabin 24 Records under exclusive license to Mom + Pop
Human Again,4.52412,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",End of the World,Ingrid Michaelson,"Jan 24, 2012",$1.29,3:42,℗ Cabin 24 Records under exclusive license to Mom + Pop
Taylor Swift Karaoke: 1989,4.63478,"Pop,Music,Adult Contemporary,Dance,Teen Pop,Country,Rock",This Love (Karaoke Version),Taylor Swift,"Mar 03, 2015",$1.29,4:07,"℗ 2014 Big Machine Records, LLC"
Taylor Swift Karaoke: 1989,4.63478,"Pop,Music,Adult Contemporary,Dance,Teen Pop,Country,Rock",I Know Places (Karaoke Version),Taylor Swift,"Mar 03, 2015",$1.29,3:13,"℗ 2014 Big Machine Records, LLC"
Taylor Swift Karaoke: 1989,4.63478,"Pop,Music,Adult Contemporary,Dance,Teen Pop,Country,Rock",Clean (Karaoke Version),Taylor Swift,"Mar 03, 2015",$1.29,4:29,"℗ 2014 Big Machine Records, LLC"
Taylor Swift (Bonus Track Version),4.63964,"Country,Music,Pop,Teen Pop,Honky Tonk,Contemporary Country,Rock",Cold As You,Taylor Swift,"Oct 24, 2006",$1.29,3:59,"℗ 2008 Big Machine Records, LLC All Rights Reserved Under License to UMGD"
Taylor Swift (Bonus Track Version),4.63964,"Country,Music,Pop,Teen Pop,Honky Tonk,Contemporary Country,Rock",Tied Together With a Smile,Taylor Swift,"Oct 24, 2006",$1.29,4:08,"℗ 2008 Big Machine Records, LLC All Rights Reserved Under License to UMGD"
Taylor Swift (Bonus Track Version),4.63964,"Country,Music,Pop,Teen Pop,Honky Tonk,Contemporary Country,Rock",Stay Beautiful,Taylor Swift,"Oct 24, 2006",$1.29,3:56,"℗ 2008 Big Machine Records, LLC All Rights Reserved Under License to UMGD"
Fearless,4.57582,"Country,Music,Rock,Honky Tonk,Pop,Adult Contemporary,Contemporary Country",Tell Me Why,Taylor Swift,"Nov 11, 2008",$1.29,3:20,"℗ 2008 Big Machine Records, LLC"
Fearless (Platinum Edition),4.72339,"Country,Music",Jump Then Fall,Taylor Swift,"Oct 26, 2009",$1.29,3:57,"℗ 2009 Big Machine Records, LLC"
Fearless (Platinum Edition),4.72339,"Country,Music",Untouchable,Taylor Swift,"Oct 26, 2009",$1.29,5:11,"℗ 2009 Big Machine Records, LLC"
Fearless (Platinum Edition),4.72339,"Country,Music",Forever & Always (Piano Version),Taylor Swift,"Oct 26, 2009",$1.29,4:27,"℗ 2009 Big Machine Records, LLC"
Fearless (Platinum Edition),4.72339,"Country,Music",SuperStar,Taylor Swift,"Oct 26, 2009",$1.29,4:21,"℗ 2009 Big Machine Records, LLC"
Fearless (Platinum Edition),4.72339,"Country,Music",The Best Day,Taylor Swift,"Oct 26, 2009",$1.29,4:05,"℗ 2009 Big Machine Records, LLC"
Back to December (Acoustic Version) - Single,4.6085,"Country,Music,Honky Tonk,Rock",Back to December (Acoustic Version),Taylor Swift,"Nov 08, 2011",$1.29,4:52,"℗ 2010 Big Machine Records, LLC."
Red,4.38597,"Country,Music,Rock,Contemporary Country,Honky Tonk,Pop,Teen Pop",Treacherous,Taylor Swift,"Oct 22, 2012",$1.29,4:02,"℗ 2012 Big Machine Records, LLC."
Red,4.38597,"Country,Music,Rock,Contemporary Country,Honky Tonk,Pop,Teen Pop",Sad Beautiful Tragic,Taylor Swift,"Oct 22, 2012",$1.29,4:44,"℗ 2012 Big Machine Records, LLC."
Red,4.38597,"Country,Music,Rock,Contemporary Country,Honky Tonk,Pop,Teen Pop",The Lucky One,Taylor Swift,"Oct 22, 2012",$1.29,4:00,"℗ 2012 Big Machine Records, LLC."
"Red (2013 CMA Awards Performance) [feat. Alison Krauss, Edgar Meyer, Eric Darken, Sam Bush & Vince Gill] - Single",4.57096,"Country,Music","Red (2013 CMA Awards Performance) [feat. Alison Krauss, Edgar Meyer, Eric Darken, Sam Bush & Vince Gill]",Taylor Swift,"Nov 07, 2013",$1.29,3:51,"℗ 2013 Big Machine Records, LLC."
Taylor Swift (Bonus Track Version),4.63964,"Country,Music,Pop,Teen Pop,Honky Tonk,Contemporary Country,Rock",Invisible,Taylor Swift,"Oct 24, 2006",$1.29,3:23,"℗ 2008 Big Machine Records, LLC All Rights Reserved Under License to UMGD"
Love Story (Pop Mix) - Single,3.57527,"Country,Music,Honky Tonk,Rock,Pop,Pop/Rock",Love Story (Pop Mix),Taylor Swift,"Jan 06, 2009",$1.29,3:53,"℗ 2009 Big Machine Records, LLC"
Fearless (Platinum Edition),4.72339,"Country,Music",Love Story,Taylor Swift,"Oct 26, 2009",$1.29,3:55,"℗ 2009 Big Machine Records, LLC"
Speak Now,4.67865,"Country,Music,Honky Tonk,Rock,Contemporary Country",Innocent,Taylor Swift,"Oct 25, 2010",$1.29,5:02,"℗ 2010 Big Machine Records, LLC."
If This Was a Movie - Single,4.52369,"Country,Music,Honky Tonk",If This Was a Movie,Taylor Swift,"Nov 08, 2011",$1.29,3:54,"℗ 2010 Big Machine Records, LLC."
Speak Now - World Tour Live,4.66186,"Country,Music,Honky Tonk,Rock,Contemporary Country",Drops of Jupiter (Live),Taylor Swift,"Nov 21, 2011",$1.29,5:15,"℗ 2011 Big Machine Records, LLC."
Red,4.38597,"Country,Music,Rock,Contemporary Country,Honky Tonk,Pop,Teen Pop",Starlight,Taylor Swift,"Oct 22, 2012",$1.29,3:40,"℗ 2012 Big Machine Records, LLC."
Everything Has Changed (Remix) [feat. Ed Sheeran] - Single,4.12946,"Country,Music",Everything Has Changed (Remix) [feat. Ed Sheeran],Taylor Swift,"Jul 23, 2013",$1.29,4:06,"℗ 2013 Big Machine Records, LLC."
Human Again,4.52412,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",Save Me (Bonus Track),Ingrid Michaelson,"Jan 24, 2012",$1.29,2:24,℗ Cabin 24 Records under exclusive license to Mom + Pop
Ghost - Single,,"Pop,Music,Singer/Songwriter,Rock",Ghost,Ingrid Michaelson,"Nov 15, 2011",$1.29,4:01,℗ Cabin 24 Records under exclusive license to Mom + Pop
Have Yourself a Merry Little Christmas - Single,4.59633,"Holiday,Music,Christmas,Pop",Have Yourself a Merry Little Christmas,Ingrid Michaelson,"Dec 13, 2011",$1.29,3:45,℗ Cabin 24 Records
Blood Brothers - Single,4.60273,"Pop,Music,Singer/Songwriter",Blood Brothers,Ingrid Michaelson,"Aug 14, 2012",$1.29,3:12,℗ Cabin 24 Records under exclusive license to Mom + Pop
Blood Brothers - Single,4.60273,"Pop,Music,Singer/Songwriter",Live It With Love,Ingrid Michaelson,"Aug 14, 2012",$1.29,3:01,℗ Cabin 24 Records under exclusive license to Mom + Pop
Into You - Single,4.67441,"Pop,Music,Singer/Songwriter",Into You,Ingrid Michaelson,"Sep 25, 2012",$1.29,3:31,℗ Cabin 24 Records under exclusive license to Mom + Pop Music
I've Got My Love To Keep Me Warm - Single,4.57895,"Pop,Music,Singer/Songwriter",I've Got My Love To Keep Me Warm,Ingrid Michaelson,"Dec 18, 2012",$1.29,2:30,℗ Cabin 24 Records
Without You - Single,4.73076,"Pop,Music,Rock,Singer/Songwriter",Without You,Ingrid Michaelson,"May 15, 2013",$1.29,3:05,℗ Cabin 24 Records under exclusive license to Mom + Pop
Lights Out,4.38969,"Pop,Music,Singer/Songwriter,Rock,Contemporary Singer/Songwriter,Adult Alternative",Home,Ingrid Michaelson,"Apr 15, 2014",$1.29,4:24,℗ 2014 Cabin 24 Records
Lights Out,4.38969,"Pop,Music,Singer/Songwriter,Rock,Contemporary Singer/Songwriter,Adult Alternative",Wonderful Unknown (feat. Greg Laswell),Ingrid Michaelson,"Apr 15, 2014",$1.29,5:01,℗ 2014 Cabin 24 Records
Lights Out,4.38969,"Pop,Music,Singer/Songwriter,Rock,Contemporary Singer/Songwriter,Adult Alternative",You Got Me (feat. Storyman),Ingrid Michaelson,"Apr 15, 2014",$1.29,3:13,℗ 2014 Cabin 24 Records
Lights Out,4.38969,"Pop,Music,Singer/Songwriter,Rock,Contemporary Singer/Songwriter,Adult Alternative",Warpath,Ingrid Michaelson,"Apr 15, 2014",$1.29,2:27,℗ 2014 Cabin 24 Records
Lights Out,4.38969,"Pop,Music,Singer/Songwriter,Rock,Contemporary Singer/Songwriter,Adult Alternative",Handsome Hands,Ingrid Michaelson,"Apr 15, 2014",$1.29,3:36,℗ 2014 Cabin 24 Records
Lights Out,4.38969,"Pop,Music,Singer/Songwriter,Rock,Contemporary Singer/Songwriter,Adult Alternative",One Night Town (feat. Mat Kearney),Ingrid Michaelson,"Apr 15, 2014",$1.29,3:14,℗ 2014 Cabin 24 Records
Lights Out,4.38969,"Pop,Music,Singer/Songwriter,Rock,Contemporary Singer/Songwriter,Adult Alternative",Ready To Lose (feat. Trent Dabbs),Ingrid Michaelson,"Apr 15, 2014",$1.29,3:33,℗ 2014 Cabin 24 Records
Lights Out,4.38969,"Pop,Music,Singer/Songwriter,Rock,Contemporary Singer/Songwriter,Adult Alternative",Stick,Ingrid Michaelson,"Apr 15, 2014",$1.29,3:35,℗ 2014 Cabin 24 Records
Lights Out,4.38969,"Pop,Music,Singer/Songwriter,Rock,Contemporary Singer/Songwriter,Adult Alternative",Everyone Is Gonna Love Me Now,Ingrid Michaelson,"Apr 15, 2014",$1.29,5:17,℗ 2014 Cabin 24 Records
Lights Out (Deluxe Version),4.51429,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",Girls Chase Boys,Ingrid Michaelson,"Nov 11, 2014",$1.29,3:41,℗ Cabin 24 Records under exclusive NA license to Mom+Pop
Lights Out (Deluxe Version),4.51429,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",Wonderful Unknown (feat. Greg Laswell),Ingrid Michaelson,"Nov 11, 2014",$1.29,5:01,℗ Cabin 24 Records under exclusive NA license to Mom+Pop
Lights Out (Deluxe Version),4.51429,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",You Got Me (feat. Storyman),Ingrid Michaelson,"Nov 11, 2014",$1.29,3:13,℗ Cabin 24 Records under exclusive NA license to Mom+Pop
Lights Out (Deluxe Version),4.51429,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",Warpath,Ingrid Michaelson,"Nov 11, 2014",$1.29,2:27,℗ Cabin 24 Records under exclusive NA license to Mom+Pop
Lights Out (Deluxe Version),4.51429,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",Handsome Hands,Ingrid Michaelson,"Nov 11, 2014",$1.29,3:36,℗ Cabin 24 Records under exclusive NA license to Mom+Pop
Lights Out (Deluxe Version),4.51429,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",One Night Town (feat. Mat Kearney),Ingrid Michaelson,"Nov 11, 2014",$1.29,3:14,℗ Cabin 24 Records under exclusive NA license to Mom+Pop
Lights Out (Deluxe Version),4.51429,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",Open Hands (feat. Trent Dabbs),Ingrid Michaelson,"Nov 11, 2014",$1.29,4:06,℗ Cabin 24 Records under exclusive NA license to Mom+Pop
Lights Out (Deluxe Version),4.51429,"Pop,Music,Rock,Adult Alternative,Singer/Songwriter,Contemporary Singer/Songwriter",Time Machine,Ingrid Michaelson,"Nov 11, 2014",$1.29,3:32,℗ Cabin 24 Records under exclusive NA license to Mom+Pop
State of Grace (Acoustic Version) - Single,4.83333,"Country,Music",State of Grace (Acoustic Version),Taylor Swift,2012,$1.29,5:23,"℗ 2012 Big Machine Records, LLC."
Taylor Swift (Bonus Track Version),4.63964,"Country,Music,Pop,Teen Pop,Honky Tonk,Contemporary Country,Rock",Mary's Song (Oh My My My),Taylor Swift,"Oct 24, 2006",$1.29,3:33,"℗ 2008 Big Machine Records, LLC All Rights Reserved Under License to UMGD"
Fearless,4.57582,"Country,Music,Rock,Honky Tonk,Pop,Adult Contemporary,Contemporary Country",The Way I Loved You,Taylor Swift,"Nov 11, 2008",$1.29,4:04,"℗ 2008 Big Machine Records, LLC"
Fearless (Platinum Edition),4.72339,"Country,Music",You Belong With Me,Taylor Swift,"Oct 26, 2009",$1.29,3:51,"℗ 2009 Big Machine Records, LLC"
Superman - Single,4.59428,"Country,Music,Honky Tonk",Superman,Taylor Swift,"Nov 08, 2011",$1.29,4:35,"℗ 2010 Big Machine Records, LLC."
Ronan - Single,4.74824,"Country,Music",Ronan,Taylor Swift,"Sep 08, 2012",$1.29,4:25,"℗ 2012 Big Machine Records, LLC."
Red,4.38597,"Country,Music,Rock,Contemporary Country,Honky Tonk,Pop,Teen Pop",State of Grace,Taylor Swift,"Oct 22, 2012",$1.29,4:55,"℗ 2012 Big Machine Records, LLC."
Red,4.38597,"Country,Music,Rock,Contemporary Country,Honky Tonk,Pop,Teen Pop",Holy Ground,Taylor Swift,"Oct 22, 2012",$1.29,3:22,"℗ 2012 Big Machine Records, LLC."
"Sweeter Than Fiction (From ""One Chance"") - Single",4.36367,"Country,Music,Soundtrack","Sweeter Than Fiction (From ""One Chance"")",Taylor Swift,"Oct 21, 2013",$1.29,3:54,"℗ 2013 Big Machine Records, LLC."
Girl At Home - Single,4.64444,"Country,Music",Girl At Home,Taylor Swift,2012,$1.29,3:40,"℗ 2012 Big Machine Records, LLC."
Taylor Swift (Bonus Track Version),4.63964,"Country,Music,Pop,Teen Pop,Honky Tonk,Contemporary Country,Rock",I'm Only Me When I'm With You,Taylor Swift,"Oct 24, 2006",$1.29,3:33,"℗ 2008 Big Machine Records, LLC All Rights Reserved Under License to UMGD"
Fearless,4.57582,"Country,Music,Rock,Honky Tonk,Pop,Adult Contemporary,Contemporary Country",Breathe (feat. Colbie Caillat),Taylor Swift,"Nov 11, 2008",$1.29,4:23,"℗ 2008 Big Machine Records, LLC"
Fearless,4.57582,"Country,Music,Rock,Honky Tonk,Pop,Adult Contemporary,Contemporary Country",You're Not Sorry,Taylor Swift,"Nov 11, 2008",$1.29,4:21,"℗ 2008 Big Machine Records, LLC"
The Taylor Swift Holiday Collection - EP,4.17034,"Holiday,Music,Country,Honky Tonk,Christmas",Last Christmas,Taylor Swift,"Oct 14, 2007",$1.29,3:28,"℗ 2008 Big Machine Records, LLC"
Speak Now,4.67865,"Country,Music,Honky Tonk,Rock,Contemporary Country",Long Live,Taylor Swift,"Oct 25, 2010",$1.29,5:17,"℗ 2010 Big Machine Records, LLC."
